"PROJETO_AMOSTRAGEM";"PROJETO_PUBLICACAO";"CENTRO_CUSTO";"CLASSE";"NUM_CAMPO";"NUM_LAB";"DATA_VISITA";"ABERTURA";"LEITURA";"JOB";"AG_PPM";"AL2O3_T_PCT";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CA_PCT";"CAO_T_PCT";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PCT";"CU_PPM";"F_PPM";"FE_PCT";"FE2O3_T_PCT";"FEO_PCT";"K2O_PCT";"LA_PPM";"MG_PCT";"MGO_T_PCT";"MN_PPM";"MO_PPM";"NA2O_PCT";"NB_PPM";"NI_PPM";"P.CNC_G";"P.TOTAL_G";"P2O5_T_PCT";"PB_PCT";"PB_PPM";"PF_PCT";"RB_PPM";"RI_PCT";"SB_PPM";"SC_PPM";"SIO2_T_PCT";"SN_PPM";"SR_PPM";"TI_PCT";"TIO2_PCT";"U_PPM";"V_PPM";"W_PPM";"Y_PPM";"ZN_PCT";"ZN_PPM";"ZR_PPM";"OBSERVACAO";"LONGITUDE";"LATITUDE";"PROJETO";"OS";"ACAO";"AREA";"CLASSE.1";"NUM_CAMPO.1";"LAT";"LONG";"PRECISAO";"CENTRO_CUS";"DTVISITA";"DESCAMOSTR";"MATCOLETAD";"ROCHMATRIZ";"INTEMROCHA";"ALTERROCHA";"TIPMINERAL";"GRAUARREDO";"VOLUME_L";"P_BATEIA_G";"GRANULMAX";"GRANULMIN";"COMPOS_PCT";"CORSED_SOL";"EH_MILIVOL";"PH";"METALPESAD";"OBS_CAMPO";"FONTEAMOST";"DESCROCHA";"IDADEROCH1";"IDADEROCH2";"PLUVIOSIDA";"VEGETACAO";"TOPOGRAFIA";"SITUACAO";"IGNEAROCHA";"ESTRUTURAL";"FORMADEPOS";"MODO_DEPOS";"LARG_RIO_M";"PROF_RIO_M";"VELOC_CORR";"NIVEL_DAGU";"AREADRENAG";"TURBIDEZ";"POSICAO";"COR_AGUA";"HORIZ_SOLO";"TIPO_SOLO";"AMBBIOTICO";"GEOMETRY"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321R";"DAG144";"27668";"EDTA a Frio";"Absorção Atômica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321R";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321R";"DAG144";"27668";"HBr, Br";"Absorção Atômica";NA;NA;NA;NA;"< 0,05";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Amostra insuficiente para completar análise de Au_ppm";"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321R";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321R";"DAG144";"27668";"HNO3 a Quente";"Absorção Atômica";NA;"ND";NA;NA;NA;NA;NA;NA;NA;NA;NA;"ND";NA;NA;NA;"15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";NA;NA;"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321R";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321R";"DAG144";"27668";"Semiquantitativa";"Cromatografia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"< 20";NA;NA;NA;NA;NA;NA;NA;"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321R";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321R";"DAG144";"27668";"Semiquantitativa";"Medidor de Íon Específico";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"475";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321R";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321R";"DAG144";"27668";NA;"Colorimetria";NA;NA;NA;"< 10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"< 1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321R";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321R";"DAG144";"27668";NA;"Espectrografia Ótica de Emissão";NA;"ND";NA;"ND";"ND";"200";"1000";"1";"ND";"< 0,05";NA;"ND";"7";"200";NA;"20";NA;"1,5";NA;NA;NA;"70";"0,7";NA;"50";"10";NA;"20";"15";NA;NA;NA;NA;"20";NA;NA;NA;"ND";"20";NA;"ND";"200";"> 1";NA;NA;"150";"ND";"50";NA;"ND";"300";NA;"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321R";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321R";"DAG144";"27668";NA;NA;NA;NA;"19,5";NA;NA;NA;NA;NA;NA;NA;"0,1";NA;NA;NA;NA;NA;NA;NA;"1";"0,2";"3,15";NA;NA;"0,52";NA;NA;"0,45";NA;NA;NA;NA;"0,11";NA;NA;NA;NA;NA;NA;NA;"67,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321R";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321S";"DAG145";"27668";"Água Régia Invertida";"Absorção Atômica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"< 2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321S";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321S";"DAG145";"27668";"EDTA a Frio";"Absorção Atômica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321S";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321S";"DAG145";"27668";"HBr, Br";"Absorção Atômica";NA;NA;NA;NA;"ND";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321S";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321S";"DAG145";"27668";"HNO3 a Quente";"Absorção Atômica";NA;"ND";NA;NA;NA;NA;NA;NA;NA;NA;NA;"ND";NA;NA;NA;"30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"20";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"20";NA;NA;"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321S";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321S";"DAG145";"27668";"Semiquantitativa";"Cromatografia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"< 20";NA;NA;NA;NA;NA;NA;NA;"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321S";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321S";"DAG145";"27668";"Semiquantitativa";"Medidor de Íon Específico";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"275";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321S";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321S";"DAG145";"27668";NA;"Colorimetria";NA;NA;NA;"< 10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"< 1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321S";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321S";"DAG145";"27668";NA;"Espectrografia Ótica de Emissão";NA;"ND";NA;"ND";"ND";"50";"5000";"2";"ND";"0,1";NA;"ND";"5";"200";NA;"100";NA;"1";NA;NA;NA;"100";"0,05";NA;"20";"5";NA;"20";"7";NA;NA;NA;NA;"30";NA;NA;NA;"ND";"15";NA;"ND";"200";"> 1";NA;NA;"100";"ND";"50";NA;"ND";"300";NA;"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321S";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-321S";"DAG145";"27668";NA;NA;NA;NA;"18,8";NA;NA;NA;NA;NA;NA;NA;"0,23";NA;NA;NA;NA;NA;NA;NA;"0,6";"0,1";"0,36";NA;NA;"0,08";NA;NA;"0,26";NA;NA;NA;NA;"0,52";NA;NA;NA;NA;NA;NA;NA;"67,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,872930185";"-3,529099965";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-321S";"-3,5291";"-52,87293";"5";"1521310";"1975-10-01";"Simples";"Folhelho";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Afloramento";"Filhelho";NA;NA;"Chuvas Esparsas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,872930185, -3,529099965)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-323";"DAG555";"27791";"Água Régia Invertida";"Absorção Atômica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ND";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,87413983";"-3,486659358";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-323";"-3,486659";"-52,87414";"5";"1521310";"1976-02-01";"Simples";"Diabasio";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mesozoico";"Superior";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,87413983, -3,486659358)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-323";"DAG555";"27791";"EDTA a Frio";"Absorção Atômica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,87413983";"-3,486659358";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-323";"-3,486659";"-52,87414";"5";"1521310";"1976-02-01";"Simples";"Diabasio";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mesozoico";"Superior";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,87413983, -3,486659358)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-323";"DAG555";"27791";"HBr, Br";"Absorção Atômica";NA;NA;NA;NA;"ND";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,87413983";"-3,486659358";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-323";"-3,486659";"-52,87414";"5";"1521310";"1976-02-01";"Simples";"Diabasio";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mesozoico";"Superior";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,87413983, -3,486659358)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-323";"DAG555";"27791";"HNO3 a Quente";"Absorção Atômica";NA;"ND";NA;NA;NA;NA;NA;NA;NA;NA;NA;"ND";"20";NA;NA;"130";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"50";NA;NA;NA;NA;"< 5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"35";NA;NA;"-52,87413983";"-3,486659358";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-323";"-3,486659";"-52,87414";"5";"1521310";"1976-02-01";"Simples";"Diabasio";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mesozoico";"Superior";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,87413983, -3,486659358)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-323";"DAG555";"27791";"Pastilha Prensada";"Fluorescência de Raios-X";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"62";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,87413983";"-3,486659358";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-323";"-3,486659";"-52,87414";"5";"1521310";"1976-02-01";"Simples";"Diabasio";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mesozoico";"Superior";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,87413983, -3,486659358)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-323";"DAG555";"27791";"Semiquantitativa";"Cromatografia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"< 20";NA;NA;NA;NA;NA;NA;NA;"-52,87413983";"-3,486659358";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-323";"-3,486659";"-52,87414";"5";"1521310";"1976-02-01";"Simples";"Diabasio";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mesozoico";"Superior";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,87413983, -3,486659358)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Rocha";"1521-NR-R-323";"DAG555";"27791";"Semiquantitativa";"Medidor de Íon Específico";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"150";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,87413983";"-3,486659358";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Rocha";"1521-NR-R-323";"-3,486659";"-52,87414";"5";"1521310";"1976-02-01";"Simples";"Diabasio";NA;"Fresca/Nao Oxidada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mesozoico";"Superior";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,87413983, -3,486659358)"
